Feature,Importance
CompetitionDistance,0.24031242913359724
Store,0.21930073134295458
Promo,0.13576104047433932
CompetitionAge,0.08028261438811007
DayOfWeek,0.06120973422583966
Day,0.041564814293483826
WeekOfYear,0.03246594102872627
PromoDuration,0.03147871885692025
StoreType_b,0.025790857932316537
Assortment_c,0.0230588747565126
StoreType_c,0.017984966960907605
StoreType_d,0.015609930176752594
Month,0.014288291108969828
PromoInterval_Mar_Jun_Sept_Dec,0.01187033112453413
Promo2,0.010052625683290262
PromoInterval_No Promo,0.009937586431796755
PromoInterval_Jan_Apr_Jul_Oct,0.00884350745278914
Year,0.007032654058116441
SchoolHoliday,0.0056684827215747035
StateHoliday_0,0.0027759159684945587
Quarter,0.002328197640612221
StateHoliday_a,0.00105638902017776
Assortment_b,0.0008430252896521285
StateHoliday_b,0.0003979247383506693
StateHoliday_c,8.44151911809085e-05
